S,t,pde_price,label
1.0,0.0,188.35460156167989,0
3.01010101010101,0.0,300.3177172080048,0
5.02020202020202,0.0,504.78218337011003,0
7.030303030303029,0.0,706.367494998301,0
9.04040404040404,0.0,901.9017022132784,0
11.05050505050505,0.0,1116.9189119392497,0
13.060606060606059,0.0,1301.2236780219725,0
15.07070707070707,0.0,1515.9408996891664,0
17.08080808080808,0.0,1712.9572344604753,0
19.09090909090909,0.0,1935.5784171349442,0
21.1010101010101,0.0,2121.3335398047902,0
23.11111111111111,0.0,2324.9153572200576,0
25.121212121212118,0.0,2548.034675742255,0
27.131313131313128,0.0,2708.5537543267933,0
29.14141414141414,0.0,2879.1850872047803,0
31.15151515151515,0.0,3155.497002200486,0
33.16161616161616,0.0,3354.2845132542548,0
35.17171717171717,0.0,3565.5950831236064,0
37.18181818181818,0.0,3676.1911462861462,0
39.19191919191919,0.0,3907.7809362997355,0
41.2020202020202,0.0,4153.9602372240215,0
43.21212121212121,0.0,4282.805952472271,0
45.22222222222222,0.0,4552.6107835415205,0
47.23232323232323,0.0,4693.8216664469155,0
49.242424242424235,0.0,4989.519341251409,0
51.252525252525245,0.0,5144.282062017878,0
53.262626262626256,0.0,5303.845144923645,0
55.272727272727266,0.0,5468.357485494422,0
57.28282828282828,0.0,5812.848756864867,0
59.29292929292929,0.0,5993.149148042581,0
61.3030303030303,0.0,6179.042017610593,0
63.31313131313131,0.0,6370.700830608783,0
65.32323232323232,0.0,6568.304432539493,0
67.33333333333333,0.0,6772.037216256356,0
69.34343434343434,0.0,6982.089294029594,0
71.35353535353535,0.0,7198.656674948385,0
73.36363636363636,0.0,7421.941447825786,0
75.37373737373737,0.0,7652.151969776957,0
77.38383838383838,0.0,7652.151969776957,0
79.39393939393939,0.0,7889.503060646595,0
81.4040404040404,0.0,8134.216203467043,0
83.41414141414141,0.0,8386.519751134112,0
85.42424242424242,0.0,8646.649139493487,0
87.43434343434343,0.0,8646.649139493487,0
89.44444444444444,0.0,8914.847107036512,0
91.45454545454545,0.0,9191.363921410344,0
93.46464646464646,0.0,9476.457612953694,0
95.47474747474747,0.0,9476.457612953694,0
97.48484848484847,0.0,9770.394215475675,0
99.49494949494948,0.0,10073.44801450138,0
101.50505050505049,0.0,10073.44801450138,0
103.5151515151515,0.0,10385.901803212995,0
105.52525252525251,0.0,10708.0471463177,0
107.53535353535352,0.0,10708.0471463177,0
109.54545454545453,0.0,11040.184652069313,0
111.55555555555554,0.0,11040.184652069313,0
113.56565656565655,0.0,11382.624252649135,0
115.57575757575756,0.0,11382.624252649135,0
117.58585858585857,0.0,11735.685493049232,0
119.59595959595958,0.0,12099.697828445038,0
121.6060606060606,0.0,12099.697828445038,0
123.6161616161616,0.0,12475.000929675687,0
125.62626262626262,0.0,12475.000929675687,0
127.63636363636363,0.0,12861.944995618345,0
129.64646464646464,0.0,12861.944995618345,0
131.65656565656565,0.0,13260.89106942427,0
133.66666666666666,0.0,13260.89106942427,0
135.67676767676767,0.0,13672.211351727057,0
137.68686868686868,0.0,13672.211351727057,0
139.6969696969697,0.0,14096.28949598496,0
141.7070707070707,0.0,14096.28949598496,0
143.7171717171717,0.0,14533.520855207478,0
145.72727272727272,0.0,14533.520855207478,0
147.73737373737373,0.0,14984.312618388345,0
149.74747474747474,0.0,14984.312618388345,0
151.75757575757575,0.0,14984.312618388345,0
153.76767676767676,0.0,15449.083716648835,0
155.77777777777777,0.0,15449.083716648835,0
157.78787878787878,0.0,15928.264272533585,0
159.7979797979798,0.0,15928.264272533585,0
161.8080808080808,0.0,16422.29417747782,0
163.8181818181818,0.0,16422.29417747782,0
165.82828282828282,0.0,16422.29417747782,0
167.83838383838383,0.0,16931.620060609584,0
169.84848484848484,0.0,16931.620060609584,0
171.85858585858585,0.0,16931.620060609584,0
173.86868686868686,0.0,17456.689382096745,0
175.87878787878788,0.0,17456.689382096745,0
177.88888888888889,0.0,17997.939545458234,0
179.8989898989899,0.0,17997.939545458234,0
181.9090909090909,0.0,17997.939545458234,0
183.91919191919192,0.0,18555.778651835604,0
185.92929292929293,0.0,18555.778651835604,0
187.93939393939394,0.0,18555.778651835604,0
189.94949494949495,0.0,19130.552683116188,0
191.95959595959596,0.0,19130.552683116188,0
193.96969696969694,0.0,19130.552683116188,0
195.97979797979795,0.0,19722.491393722186,0
197.98989898989896,0.0,19722.491393722186,0
200.0,0.0,19722.491393722186,0
1.0,0.05,188.92042881309047,0
3.01010101010101,0.05,300.31762380235136,0
5.02020202020202,0.05,504.78202636393917,0
7.030303030303029,0.05,706.367275291546,0
9.04040404040404,0.05,901.9014216880593,0
11.05050505050505,0.05,1116.9185645356229,0
13.060606060606059,0.05,1301.2232732926584,0
15.07070707070707,0.05,1515.940428174751,0
17.08080808080808,0.05,1712.956701666599,0
19.09090909090909,0.05,1935.57781509754,0
21.1010101010101,0.05,2121.332879990583,0
23.11111111111111,0.05,2324.914634084278,0
25.121212121212118,0.05,2548.0338832080074,0
27.131313131313128,0.05,2708.552911865099,0
29.14141414141414,0.05,2879.1841916703484,0
31.15151515151515,0.05,3155.4960207226973,0
33.16161616161616,0.05,3354.2834699461023,0
35.17171717171717,0.05,3565.5939740899503,0
37.18181818181818,0.05,3676.190002852971,0
39.19191919191919,0.05,3907.7797208334587,0
41.2020202020202,0.05,4153.958945186758,0
43.21212121212121,0.05,4282.804620359164,0
45.22222222222222,0.05,4552.609367509002,0
47.23232323232323,0.05,4693.820206492523,0
49.242424242424235,0.05,4989.51778932396,0
51.252525252525245,0.05,5144.280461953425,0
