episode,return,avg_mse
1,-6598005.0,1.6495012044906616
2,-6619668.5,1.6549171209335327
3,-6629459.5,1.657364845275879
4,-6631616.5,1.6579041481018066
5,-6625190.0,1.6562974452972412
